PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Is indexable page,No. of all inlinks,First found at
0,https://estetiacrm.com.br/en/help/equipe/permissoes-equipe,,text/html; charset=utf-8,false,404,0,1,false,1,https://estetiacrm.com.br/help/equipe/permissoes-equipe
0,https://estetiacrm.com.br/en/help/[category]/integracao-n8n,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/integracoes/integracao-n8n
0,https://estetiacrm.com.br/en/features/analytics,,text/html; charset=utf-8,false,404,0,2,false,2,https://estetiacrm.com.br/en
0,https://estetiacrm.com.br/en/help/planos/gerenciar-assinatura,,text/html; charset=utf-8,false,404,0,1,false,1,https://estetiacrm.com.br/help/planos/gerenciar-assinatura
0,https://estetiacrm.com.br/en/help/[category]/deals-perdidos,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/pipeline-negocios/deals-perdidos
0,https://estetiacrm.com.br/en/help/analytics/forecasting-vendas,,text/html; charset=utf-8,false,404,0,1,false,1,https://estetiacrm.com.br/help/analytics/forecasting-vendas
0,https://estetiacrm.com.br/en/help/primeiros-passos/criar-primeiro-negocio,,text/html; charset=utf-8,false,404,0,1,false,1,https://estetiacrm.com.br/help/primeiros-passos/criar-primeiro-negocio
0,https://estetiacrm.com.br/en/help/[category]/free-vs-pro,,text/html; charset=utf-8,false,404,0,2,false,2,https://estetiacrm.com.br/help/planos/free-vs-pro
0,https://www.estetiacrm.com.br/,,text/html,false,404,0,0,false,1,
0,https://estetiacrm.com.br/en/help/[category]/configurar-perfil,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/equipe/configurar-perfil
0,https://estetiacrm.com.br/en/help/pipeline-negocios/multiplos-pipelines,,text/html; charset=utf-8,false,404,0,1,false,1,https://estetiacrm.com.br/help/pipeline-negocios/multiplos-pipelines
0,https://estetiacrm.com.br/en/comunidade,,text/html; charset=utf-8,false,404,0,2,false,1,https://estetiacrm.com.br/comunidade
0,https://estetiacrm.com.br/en/help/[category]/exportar-dados,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help/analytics/exportar-dados
0,https://estetiacrm.com.br/help/planos/free-vs-pro,,text/html; charset=utf-8,false,404,0,1,false,2,https://estetiacrm.com.br/help
